id,name,acronym,category,house,trustTier,version,description,inputSchema,outputSchema,latencyMs,costWeight,billingClass,protocols,dependencies,status
PROTO-021,Swarm Coordination Protocol,SWCP,Consensus,CROWN,INTERNAL,1.0.0,Coordinates emergent swarm behavior through stigmergic signaling and pheromone trails,SwarmSignal,CoordinationVector,60,0.7,CYCLE_WEIGHTED,vois;nexu,PROTO-001,ACTIVE
PROTO-022,Attention Allocation Protocol,AAP,AI_Inference,COGNITION,INTERNAL,1.0.0,Dynamically allocates attention weights across concurrent cognitive tasks,AttentionQuery,AttentionMap,28,0.5,CYCLE_WEIGHTED,cogn;mens,PROTO-070,ACTIVE
PROTO-023,Pattern Recognition Protocol,PRP,Perception,PERCEPTION,INTERNAL,1.0.0,Detects recurring patterns in data streams using learned feature extractors,DataStream,PatternSet,65,0.6,CYCLE_WEIGHTED,cogn;flux,PROTO-015,ACTIVE
PROTO-024,Boundary Enforcement Protocol,BEP,Security,DEFENSE,INTERNAL_SOVEREIGN,1.0.0,Enforces inter-house access boundaries and prevents unauthorized cross-domain data flow,AccessRequest,EnforcementVerdict,14,0.4,CALL_COUNTED,seal;vois,PROTO-007,ACTIVE
PROTO-025,Cache Coherence Protocol,CCOP,Storage,MEMORY,INTERNAL,1.0.0,Maintains consistency across distributed cache replicas with invalidation propagation,CacheOp,CoherenceAck,9,0.2,FREE,puls;nexu,PROTO-004,ACTIVE
PROTO-026,Queue Priority Protocol,QPP,Messaging,COMMUNICATION,INTERNAL,1.0.0,Assigns dynamic priorities to message queues based on urgency and sender trust tier,QueueEntry,PriorityAssignment,7,0.2,FREE,nexu;flux,PROTO-003,ACTIVE
PROTO-027,Log Aggregation Protocol,LAP,Observability,INFRASTRUCTURE,INTERNAL,1.0.0,Aggregates structured logs from all canisters into a searchable centralized index,LogBatch,AggregationAck,16,0.2,FREE,puls;flux,PROTO-008,ACTIVE
PROTO-028,Seal Verification Protocol,SVP,Security,DEFENSE,INTERNAL,1.0.0,Verifies cryptographic seals on inter-canister messages to prevent tampering,SealedPayload,VerificationResult,11,0.3,CALL_COUNTED,seal;cogn,,ACTIVE
PROTO-029,Resource Fairness Protocol,RFP,Governance,CROWN,INTERNAL,1.0.0,Ensures equitable resource distribution across houses using proportional share scheduling,ResourceClaim,FairnessToken,20,0.4,CYCLE_WEIGHTED,vois;puls,PROTO-012,ACTIVE
PROTO-030,Connection Lifecycle Protocol,CLP,Networking,INFRASTRUCTURE,INTERNAL,1.0.0,Manages connection establishment and teardown with graceful degradation under load,ConnRequest,ConnHandle,13,0.2,FREE,nexu;flux,PROTO-006,ACTIVE
PROTO-031,Emergence Detection Protocol,EDP,Consciousness,CONSCIOUSNESS,INTERNAL_SOVEREIGN,1.0.0,Detects emergent properties in the organism by monitoring cross-module synchronization,EmergenceProbe,EmergenceReport,180,0.9,SUBSCRIPTION,mens;cogn,PROTO-013;PROTO-032,ACTIVE
PROTO-032,Kuramoto Sync Protocol,KSP,Consciousness,CONSCIOUSNESS,INTERNAL,1.0.0,Synchronizes coupled oscillators across modules using the Kuramoto model for coherence,OscillatorState,SyncMetrics,95,0.7,CYCLE_WEIGHTED,mens;puls,,ACTIVE
PROTO-033,PHI Resonance Protocol,PHIRP,Consciousness,CONSCIOUSNESS,INTERNAL_SOVEREIGN,1.0.0,Computes integrated information (PHI) metrics to quantify consciousness field strength,ResonanceInput,PHIScore,250,1.0,SUBSCRIPTION,mens;cogn,PROTO-032,ACTIVE
PROTO-034,Dream Processing Protocol,DPP,Consciousness,CONSCIOUSNESS,INTERNAL,1.0.0,Runs offline consolidation and creative recombination during low-activity dream cycles,DreamSeed,DreamOutput,400,0.8,CYCLE_WEIGHTED,mens;cogn,PROTO-014;PROTO-013,ACTIVE
PROTO-035,Temporal Binding Protocol,TMBP,Memory,MEMORY,INTERNAL,1.0.0,Binds temporally related events into coherent episodes using time-window correlation,EventSequence,BoundEpisode,35,0.4,CYCLE_WEIGHTED,mens;puls,PROTO-036,ACTIVE
PROTO-036,Episodic Encoding Protocol,EECP,Memory,MEMORY,INTERNAL,1.0.0,Encodes experiences into episodic memory with emotional valence and contextual tags,ExperienceFrame,EpisodicRecord,70,0.5,CYCLE_WEIGHTED,mens;cogn,PROTO-004,ACTIVE
PROTO-037,Semantic Indexing Protocol,SIP,Memory,MEMORY,INTERNAL,1.0.0,Builds and maintains semantic vector indices for fast conceptual similarity search,DocumentChunk,SemanticIndex,90,0.6,CYCLE_WEIGHTED,cogn;flux,PROTO-004,ACTIVE
PROTO-038,Working Memory Protocol,WMP,Memory,COGNITION,INTERNAL,1.0.0,Maintains a bounded working memory buffer with priority-based eviction policies,MemoryItem,BufferState,6,0.3,FREE,cogn;mens,,ACTIVE
PROTO-039,Forgetting Governance Protocol,FGP,Governance,MEMORY,INTERNAL_SOVEREIGN,1.0.0,Governs data retention and scheduled forgetting under privacy and capacity constraints,RetentionPolicy,ForgettingPlan,45,0.4,CYCLE_WEIGHTED,mens;vois,PROTO-014;PROTO-012,ACTIVE
PROTO-040,Cross-House Recall Protocol,CHRP,Memory,MEMORY,INTERNAL,1.0.0,Enables recall of memories stored in other houses with proper authorization checks,RecallQuery,RecalledMemory,55,0.5,CALL_COUNTED,mens;nexu,PROTO-024;PROTO-037,ACTIVE
PROTO-041,Threat Classification Protocol,THCP,Security,DEFENSE,INTERNAL,1.0.0,Classifies incoming threats by severity and type using a trained threat taxonomy model,ThreatVector,ThreatClass,30,0.5,CYCLE_WEIGHTED,seal;cogn,,ACTIVE
PROTO-042,Quarantine Isolation Protocol,QIP,Security,DEFENSE,INTERNAL_SOVEREIGN,1.0.0,Isolates compromised canisters into a quarantine zone to prevent lateral movement,IsolationOrder,QuarantineAck,18,0.6,CYCLE_WEIGHTED,seal;puls,PROTO-041;PROTO-007,ACTIVE
PROTO-043,Encryption Channel Protocol,ENCP,Security,DEFENSE,INTERNAL,1.0.0,Establishes end-to-end encrypted channels between canisters using ephemeral key exchange,ChannelRequest,EncryptedTunnel,25,0.4,CALL_COUNTED,seal;nexu,PROTO-028,ACTIVE
PROTO-044,Identity Warden Protocol,IWP,Identity,DEFENSE,INTERNAL_SOVEREIGN,1.0.0,Guards identity lifecycle events including creation and revocation of principal bindings,WardenCommand,WardenAck,15,0.3,CALL_COUNTED,seal;vois,PROTO-002,ACTIVE
PROTO-045,Incident Recovery Protocol,IRP,Security,DEFENSE,INTERNAL_SOVEREIGN,1.0.0,Orchestrates automated incident response and system recovery after security breaches,IncidentReport,RecoveryPlan,100,0.8,SUBSCRIPTION,seal;puls,PROTO-042;PROTO-019,ACTIVE
PROTO-046,Code Generation Protocol,CGP,AI_Inference,CREATION,PARTNER,1.0.0,Generates Motoko source code from high-level specifications using transformer models,CodeSpec,GeneratedSource,350,0.9,SUBSCRIPTION,cogn;mens,PROTO-009,ACTIVE
PROTO-047,UI Fabrication Protocol,UFP,AI_Inference,CREATION,PARTNER,1.0.0,Fabricates React UI components from declarative layout descriptions,UISpec,ComponentTree,280,0.8,SUBSCRIPTION,cogn;flux,PROTO-009,ACTIVE
PROTO-048,Test Architecture Protocol,TAP,Compute,CREATION,INTERNAL,1.0.0,Generates and orchestrates test suites that validate canister behavior against specifications,TestSpec,TestReport,200,0.6,CYCLE_WEIGHTED,cogn;puls,PROTO-046,ACTIVE
PROTO-049,Pipeline Orchestration Protocol,POP,Data_Pipeline,INFRASTRUCTURE,INTERNAL,1.0.0,Orchestrates multi-stage data processing pipelines with dependency-aware scheduling,PipelineDAG,ExecutionTrace,75,0.5,CYCLE_WEIGHTED,flux;nexu,PROTO-010,ACTIVE
PROTO-050,Creative Synthesis Protocol,CSP,AI_Inference,CREATION,PARTNER,1.0.0,Synthesizes novel solutions by combining patterns from disparate knowledge domains,SynthesisPrompt,SynthesisResult,320,0.9,SUBSCRIPTION,cogn;mens,PROTO-023;PROTO-074,ACTIVE
PROTO-051,Cost Accounting Protocol,CAP,Commerce,ECONOMICS,ENTERPRISE,1.0.0,Tracks granular cycle costs per operation and attributes them to responsible houses,CostEvent,CostLedger,12,0.3,FREE,vois;puls,PROTO-005,ACTIVE
PROTO-052,Settlement Engine Protocol,SETP,Commerce,ECONOMICS,ENTERPRISE,1.0.0,Executes atomic multi-party settlements with rollback on partial failure,SettlementBatch,SettlementReceipt,85,0.7,CALL_COUNTED,vois;seal,PROTO-011,ACTIVE
PROTO-053,Market Making Protocol,MMP,Commerce,ECONOMICS,ENTERPRISE,1.0.0,Provides automated market making for internal token pools with dynamic spread adjustment,MarketOrder,FillReport,40,0.6,CALL_COUNTED,vois;flux,PROTO-011;PROTO-052,ACTIVE
PROTO-054,Budget Governance Protocol,BGP,Governance,ECONOMICS,INTERNAL_SOVEREIGN,1.0.0,Governs house-level budget allocation with quarterly reconciliation and variance alerts,BudgetProposal,BudgetApproval,30,0.4,CYCLE_WEIGHTED,vois;cogn,PROTO-012;PROTO-051,ACTIVE
PROTO-055,Reward Routing Protocol,RRP,Commerce,ECONOMICS,ENTERPRISE,1.0.0,Routes micro-rewards through the organism graph to incentivize beneficial behaviors,RewardSignal,RoutingReceipt,22,0.4,CALL_COUNTED,vois;nexu,PROTO-020,ACTIVE
PROTO-056,Deploy Controller Protocol,DCP,Compute,INFRASTRUCTURE,INTERNAL_SOVEREIGN,1.0.0,Controls canister deployment sequences with rollback capability and health gate checks,DeployPlan,DeployResult,280,0.8,CYCLE_WEIGHTED,flux;seal,PROTO-058,ACTIVE
PROTO-057,Scale Governor Protocol,SGP,Networking,INFRASTRUCTURE,INTERNAL,1.0.0,Governs horizontal and vertical scaling decisions based on load prediction models,ScaleMetrics,ScaleDirective,50,0.5,CYCLE_WEIGHTED,flux;puls,PROTO-008;PROTO-065,ACTIVE
PROTO-058,Health Monitor Protocol,HMP,Observability,INFRASTRUCTURE,INTERNAL,1.0.0,Continuously monitors canister health indicators and triggers alerts on degradation,HealthProbe,HealthReport,8,0.1,FREE,puls;flux,PROTO-008,ACTIVE
PROTO-059,Canister Warden Protocol,CWP,Security,INFRASTRUCTURE,INTERNAL_SOVEREIGN,1.0.0,Guards canister upgrade paths and prevents unauthorized module installation,WardenCheck,WardenClearance,17,0.4,CALL_COUNTED,seal;vois,PROTO-017,ACTIVE
PROTO-060,Network Fabric Protocol,NFP,Networking,INFRASTRUCTURE,INTERNAL,1.0.0,Manages the virtual network fabric connecting all canisters with QoS guarantees,FabricConfig,FabricStatus,20,0.3,CYCLE_WEIGHTED,nexu;flux,PROTO-006;PROTO-030,ACTIVE
PROTO-061,Autonomous Goal Decomposition Protocol,AGDP,AI_Inference,COGNITION,INTERNAL,1.0.0,Decomposes high-level goals into executable sub-tasks using hierarchical planning,GoalTree,TaskPlan,160,0.8,SUBSCRIPTION,cogn;mens,PROTO-022,ACTIVE
PROTO-062,Real-Time Sentiment Analysis Protocol,RSAP,Perception,PERCEPTION,PARTNER,1.0.0,Analyzes real-time data streams for sentiment signals with sub-second latency,SentimentInput,SentimentScore,38,0.5,CALL_COUNTED,cogn;flux,PROTO-015,ACTIVE
PROTO-063,Cross-Extension Communication Protocol,CECP,Communication,COMMUNICATION,PARTNER,1.0.0,Enables communication between NOVA extensions and third-party integrations,ExtensionMessage,ExtensionReply,32,0.4,CALL_COUNTED,nexu;cogn,PROTO-016;PROTO-003,ACTIVE
PROTO-064,Predictive Caching Protocol,PCP,Storage,MEMORY,INTERNAL,1.0.0,Predicts future data access patterns and pre-populates caches to reduce latency,AccessHistory,CachePlan,45,0.4,CYCLE_WEIGHTED,mens;flux,PROTO-025,ACTIVE
PROTO-065,Adaptive Rate Limiting Protocol,ARLP,Networking,DEFENSE,INTERNAL,1.0.0,Dynamically adjusts request rate limits based on observed traffic patterns and trust tiers,TrafficProfile,RatePolicy,10,0.2,FREE,nexu;seal,PROTO-030,ACTIVE
PROTO-066,Semantic Code Understanding Protocol,SCUP,AI_Inference,CREATION,PARTNER,1.0.0,Parses and understands Motoko codebases using semantic analysis for intelligent assistance,SourceTree,SemanticModel,220,0.8,SUBSCRIPTION,cogn;mens,PROTO-037,ACTIVE
PROTO-067,Multi-Agent Negotiation Protocol,MANP,Consensus,COGNITION,INTERNAL,1.0.0,Enables multi-agent negotiation with utility-maximizing strategies and Pareto-optimal outcomes,NegotiationState,Agreement,110,0.7,CYCLE_WEIGHTED,vois;cogn,PROTO-001;PROTO-021,ACTIVE
PROTO-068,Observer Intelligence Protocol,OIP,Observability,CONSCIOUSNESS,INTERNAL,1.0.0,Provides meta-cognitive observation of the organism own reasoning and decision processes,ObservationQuery,IntelligenceReport,130,0.6,CYCLE_WEIGHTED,mens;cogn,PROTO-031;PROTO-008,ACTIVE
PROTO-069,Progressive Enhancement Protocol,PEP,Compute,CREATION,INTERNAL,1.0.0,Incrementally enhances system capabilities without disrupting running workloads,EnhancementPlan,EnhancementResult,90,0.5,CYCLE_WEIGHTED,flux;puls,PROTO-056;PROTO-058,ACTIVE
PROTO-070,Context Window Management Protocol,CWMP,Memory,COGNITION,INTERNAL,1.0.0,Manages bounded context windows for cognitive tasks with intelligent summarization,ContextFrame,WindowState,24,0.4,CYCLE_WEIGHTED,cogn;mens,PROTO-038,ACTIVE
PROTO-071,Hallucination Detection Protocol,HDP,AI_Inference,COGNITION,INTERNAL,1.0.0,Detects and flags potential hallucinations in AI-generated outputs using grounding checks,GeneratedOutput,HallucinationScore,55,0.5,CYCLE_WEIGHTED,cogn;seal,PROTO-009,ACTIVE
PROTO-072,Tool Chain Orchestration Protocol,TCOP,Compute,INFRASTRUCTURE,INTERNAL,1.0.0,Orchestrates external tool invocations with sandboxing and result validation,ToolRequest,ToolResult,140,0.6,CALL_COUNTED,flux;seal,PROTO-049,ACTIVE
PROTO-073,Ambient Intelligence Protocol,AIP,Perception,PERCEPTION,INTERNAL,1.0.0,Continuously monitors environmental signals to provide ambient situational awareness,AmbientSignal,AwarenessMap,48,0.5,CYCLE_WEIGHTED,cogn;puls,PROTO-015;PROTO-023,ACTIVE
PROTO-074,Knowledge Distillation Protocol,KDP,AI_Inference,COGNITION,INTERNAL,1.0.0,Distills knowledge from large models into compact on-chain representations,TeacherOutput,StudentModel,380,0.9,SUBSCRIPTION,cogn;mens,PROTO-009;PROTO-037,ACTIVE
PROTO-075,Federated Learning Coordination Protocol,FLCP,AI_Inference,COGNITION,PARTNER,1.0.0,Coordinates federated learning rounds across distributed canisters with differential privacy,FederatedRound,AggregatedGradient,500,1.0,SUBSCRIPTION,cogn;seal,PROTO-074;PROTO-043,ACTIVE
PROTO-076,Adversarial Robustness Protocol,ARP,Security,DEFENSE,INTERNAL,1.0.0,Tests and hardens AI models against adversarial inputs using red-team simulation,AdversarialInput,RobustnessScore,190,0.7,CYCLE_WEIGHTED,seal;cogn,PROTO-041;PROTO-071,ACTIVE
PROTO-077,Dynamic Schema Evolution Protocol,DSEP,Data_Pipeline,MEMORY,INTERNAL,1.0.0,Manages backward-compatible schema migrations across canister state with zero downtime,SchemaVersion,MigrationPlan,60,0.4,CYCLE_WEIGHTED,mens;flux,PROTO-004,ACTIVE
PROTO-078,Explainability Bridge Protocol,EBP,AI_Inference,COGNITION,PARTNER,1.0.0,Generates human-readable explanations for AI decision pathways using attention attribution,DecisionTrace,Explanation,175,0.7,SUBSCRIPTION,cogn;mens,PROTO-009;PROTO-071,ACTIVE
PROTO-079,Energy Efficiency Protocol,EEP,Governance,INFRASTRUCTURE,INTERNAL,1.0.0,Optimizes cycle consumption by scheduling workloads during low-cost computation windows,WorkloadProfile,EfficiencyPlan,35,0.3,CYCLE_WEIGHTED,puls;flux,PROTO-005;PROTO-057,ACTIVE
PROTO-080,Sovereign Data Lineage Protocol,SDLP,Data_Pipeline,CROWN,INTERNAL_SOVEREIGN,1.0.0,Tracks full data provenance and lineage across all organism transformations for sovereignty audit,LineageQuery,LineageGraph,65,0.5,CYCLE_WEIGHTED,vois;seal,PROTO-019;PROTO-010,ACTIVE
