id,name,codename,family,house,purpose,trustTier,surfaces,permissionClass,protocols,endpoint,latencyMs,costWeight,billingClass,capabilities,dependencies,version,status
TOOL-030,Response Formatter,RESPONSE-FMT,MARKETPLACE_CALLS,CONSCIOUSNESS,Formats and normalizes marketplace API responses,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/consciousness/response-fmt,47,0.65,metered,"marketplace,response-fmt",CALL-ROUTER,1.0.0,active
TOOL-031,Rate Limiter,RATE-LIMITER,MARKETPLACE_CALLS,CROWN,Enforces rate limits on marketplace API calls,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/crown/rate-limiter,50,0.7,metered,"marketplace,rate-limiter",CALL-ROUTER,1.0.0,active
TOOL-032,Load Balancer,LOAD-BALANCER,MARKETPLACE_CALLS,COGNITION,Distributes marketplace traffic across tool instances,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/cognition/load-balancer,53,0.75,metered,"marketplace,load-balancer",CALL-ROUTER,1.0.0,active
TOOL-033,Circuit Breaker,CIRCUIT-BREAKER,MARKETPLACE_CALLS,MEMORY,Prevents cascading failures in marketplace call chains,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/memory/circuit-breaker,56,0.8,metered,"marketplace,circuit-breaker",CALL-ROUTER,1.0.0,active
TOOL-034,Retry Handler,RETRY-HANDLER,MARKETPLACE_CALLS,PERCEPTION,Handles retry logic with exponential backoff for failed calls,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/perception/retry-handler,59,0.85,metered,"marketplace,retry-handler",CALL-ROUTER,1.0.0,active
TOOL-035,Timeout Manager,TIMEOUT-MGR,MARKETPLACE_CALLS,COMMUNICATION,Manages and enforces timeouts on marketplace operations,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/communication/timeout-mgr,62,0.9,metered,"marketplace,timeout-mgr",CALL-ROUTER,1.0.0,active
TOOL-036,Webhook Dispatcher,WEBHOOK-DISPATCH,MARKETPLACE_CALLS,DEFENSE,Dispatches webhook notifications for marketplace events,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/defense/webhook-dispatch,65,0.95,metered,"marketplace,webhook-dispatch",CALL-ROUTER,1.0.0,active
TOOL-037,Event Emitter,EVENT-EMITTER,MARKETPLACE_CALLS,CREATION,Emits structured events for marketplace activity tracking,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/creation/event-emitter,68,1.0,metered,"marketplace,event-emitter",CALL-ROUTER,1.0.0,active
TOOL-038,Subscription Manager,SUB-MANAGER,MARKETPLACE_CALLS,ECONOMICS,Manages tool subscriptions and renewal lifecycle,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/economics/sub-manager,71,1.05,metered,"marketplace,sub-manager",CALL-ROUTER,1.0.0,active
TOOL-039,API Key Generator,APIKEY-GEN,MARKETPLACE_CALLS,INFRASTRUCTURE,Generates and rotates API keys for marketplace access,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/infrastructure/apikey-gen,74,1.1,metered,"marketplace,apikey-gen",CALL-ROUTER,1.0.0,active
TOOL-040,Principal Resolver,PRINCIPAL-RESOLVER,MARKETPLACE_CALLS,CONSCIOUSNESS,Resolves ICP principals to marketplace identities,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/consciousness/principal-resolver,77,1.15,metered,"marketplace,principal-resolver",CALL-ROUTER,1.0.0,active
TOOL-041,Marketplace Search,MKT-SEARCH,MARKETPLACE_CALLS,CROWN,Full-text search across marketplace tool listings,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/crown/mkt-search,80,0.2,metered,"marketplace,mkt-search",CALL-ROUTER,1.0.0,active
TOOL-042,Category Filter,CATEGORY-FILTER,MARKETPLACE_CALLS,COGNITION,Filters marketplace tools by category and taxonomy,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/cognition/category-filter,83,0.25,metered,"marketplace,category-filter",CALL-ROUTER,1.0.0,active
TOOL-043,Popularity Ranker,POP-RANKER,MARKETPLACE_CALLS,MEMORY,Ranks marketplace tools by popularity and usage metrics,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/memory/pop-ranker,86,0.3,metered,"marketplace,pop-ranker",CALL-ROUTER,1.0.0,active
TOOL-044,Recommendation Engine,RECOMMEND-ENGINE,MARKETPLACE_CALLS,PERCEPTION,Recommends tools based on usage patterns and context,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/perception/recommend-engine,89,0.35,metered,"marketplace,recommend-engine",CALL-ROUTER,1.0.0,active
TOOL-045,Install Manager,INSTALL-MGR,MARKETPLACE_CALLS,COMMUNICATION,Manages tool installation and dependency resolution,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/communication/install-mgr,92,0.4,metered,"marketplace,install-mgr",CALL-ROUTER,1.0.0,active
TOOL-046,Update Notifier,UPDATE-NOTIFIER,MARKETPLACE_CALLS,DEFENSE,Notifies organisms of available tool updates,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/defense/update-notifier,95,0.45,metered,"marketplace,update-notifier",CALL-ROUTER,1.0.0,active
TOOL-047,Deprecation Tracker,DEPREC-TRACKER,MARKETPLACE_CALLS,CREATION,Tracks and alerts on deprecated marketplace tools,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/creation/deprec-tracker,98,0.5,metered,"marketplace,deprec-tracker",CALL-ROUTER,1.0.0,active
TOOL-048,Changelog Generator,CHANGELOG-GEN,MARKETPLACE_CALLS,ECONOMICS,Generates changelogs from marketplace tool versions,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/economics/changelog-gen,21,0.55,metered,"marketplace,changelog-gen",CALL-ROUTER,1.0.0,active
TOOL-049,Health Dashboard,HEALTH-DASH,MARKETPLACE_CALLS,INFRASTRUCTURE,Aggregates health status of all marketplace tools,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/infrastructure/health-dash,24,0.6,metered,"marketplace,health-dash",CALL-ROUTER,1.0.0,active
TOOL-050,Analytics Collector,ANALYTICS-COLLECT,MARKETPLACE_CALLS,CONSCIOUSNESS,Collects and aggregates marketplace usage analytics,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/consciousness/analytics-collect,27,0.65,metered,"marketplace,analytics-collect",CALL-ROUTER,1.0.0,active
TOOL-051,Feedback Processor,FEEDBACK-PROC,MARKETPLACE_CALLS,CROWN,Processes user feedback and ratings for marketplace tools,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/crown/feedback-proc,30,0.7,metered,"marketplace,feedback-proc",CALL-ROUTER,1.0.0,active
TOOL-052,Review Aggregator,REVIEW-AGG,MARKETPLACE_CALLS,COGNITION,Aggregates and summarizes marketplace tool reviews,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/cognition/review-agg,33,0.75,metered,"marketplace,review-agg",CALL-ROUTER,1.0.0,active
TOOL-053,Version Comparator,VERSION-CMP,MARKETPLACE_CALLS,MEMORY,Compares tool versions for compatibility checking,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/memory/version-cmp,36,0.8,metered,"marketplace,version-cmp",CALL-ROUTER,1.0.0,active
TOOL-054,Compatibility Checker,COMPAT-CHECK,MARKETPLACE_CALLS,PERCEPTION,Checks cross-tool and cross-version compatibility,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/perception/compat-check,39,0.85,metered,"marketplace,compat-check",CALL-ROUTER,1.0.0,active
TOOL-055,License Validator,LICENSE-VALID,MARKETPLACE_CALLS,COMMUNICATION,Validates tool licenses for compliance requirements,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/communication/license-valid,42,0.9,metered,"marketplace,license-valid",CALL-ROUTER,1.0.0,active
TOOL-056,Quota Manager,QUOTA-MGR,MARKETPLACE_CALLS,DEFENSE,Manages usage quotas and allocation for marketplace tools,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/defense/quota-mgr,45,0.95,metered,"marketplace,quota-mgr",CALL-ROUTER,1.0.0,active
TOOL-057,Throttle Controller,THROTTLE-CTRL,MARKETPLACE_CALLS,CREATION,Controls traffic throttling for marketplace endpoints,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/creation/throttle-ctrl,48,1.0,metered,"marketplace,throttle-ctrl",CALL-ROUTER,1.0.0,active
TOOL-058,Cache Invalidator,CACHE-INVAL,MARKETPLACE_CALLS,ECONOMICS,Invalidates stale marketplace caches on data changes,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/economics/cache-inval,51,1.05,metered,"marketplace,cache-inval",CALL-ROUTER,1.0.0,active
TOOL-059,Batch Processor,BATCH-PROC,MARKETPLACE_CALLS,INFRASTRUCTURE,Processes batch marketplace operations efficiently,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/infrastructure/batch-proc,54,1.1,metered,"marketplace,batch-proc",CALL-ROUTER,1.0.0,active
TOOL-060,Export Manager,EXPORT-MGR,MARKETPLACE_CALLS,CONSCIOUSNESS,Exports marketplace data and reports in multiple formats,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/consciousness/export-mgr,57,1.15,metered,"marketplace,export-mgr",CALL-ROUTER,1.0.0,active
TOOL-061,Goal Decomposer,GOAL-DECOMP,AI_CALLS,CROWN,Decomposes high-level goals into actionable sub-tasks,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/crown/goal-decomp,50,0.5,per-token,"ai,goal-decomp",INFER-ENGINE,1.0.0,active
TOOL-062,Hallucination Checker,HALLUC-CHECK,AI_CALLS,COGNITION,Detects and flags potential hallucinations in AI output,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/cognition/halluc-check,57,0.58,per-token,"ai,halluc-check",INFER-ENGINE,1.0.0,active
TOOL-063,Sentiment Analyzer,SENTIMENT-ANALYZE,AI_CALLS,MEMORY,Analyzes sentiment polarity and intensity in text,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/memory/sentiment-analyze,64,0.66,per-token,"ai,sentiment-analyze",INFER-ENGINE,1.0.0,active
TOOL-064,Code Understander,CODE-UNDERSTAND,AI_CALLS,PERCEPTION,Parses and comprehends code semantics and intent,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/perception/code-understand,71,0.74,per-token,"ai,code-understand",INFER-ENGINE,1.0.0,active
TOOL-065,Intent Classifier,INTENT-CLASSIFY,AI_CALLS,COMMUNICATION,Classifies user intent from natural language input,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/communication/intent-classify,78,0.82,per-token,"ai,intent-classify",INFER-ENGINE,1.0.0,active
TOOL-066,Entity Extractor,ENTITY-EXTRACT,AI_CALLS,DEFENSE,Extracts named entities and relationships from text,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/defense/entity-extract,85,0.9,per-token,"ai,entity-extract",INFER-ENGINE,1.0.0,active
TOOL-067,Summarizer,SUMMARIZER,AI_CALLS,CREATION,Generates concise summaries of long-form content,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/creation/summarizer,92,0.98,per-token,"ai,summarizer",INFER-ENGINE,1.0.0,active
TOOL-068,Translator,TRANSLATOR,AI_CALLS,ECONOMICS,Translates content across natural languages,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/economics/translator,99,1.06,per-token,"ai,translator",INFER-ENGINE,1.0.0,active
TOOL-069,Embeddings Generator,EMBED-GEN,AI_CALLS,INFRASTRUCTURE,Generates vector embeddings for semantic operations,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/infrastructure/embed-gen,106,1.14,per-token,"ai,embed-gen",INFER-ENGINE,1.0.0,active
TOOL-070,Similarity Scorer,SIMILARITY-SCORE,AI_CALLS,CONSCIOUSNESS,Scores semantic similarity between content pairs,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/consciousness/similarity-score,113,1.22,per-token,"ai,similarity-score",INFER-ENGINE,1.0.0,active
TOOL-071,Toxicity Filter,TOXICITY-FILTER,AI_CALLS,CROWN,Filters toxic and harmful content from AI outputs,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/crown/toxicity-filter,120,1.3,per-token,"ai,toxicity-filter",INFER-ENGINE,1.0.0,active
TOOL-072,Fact Verifier,FACT-VERIFY,AI_CALLS,COGNITION,Verifies factual claims against knowledge sources,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/cognition/fact-verify,127,1.38,per-token,"ai,fact-verify",INFER-ENGINE,1.0.0,active
TOOL-073,Citation Finder,CITATION-FIND,AI_CALLS,MEMORY,Finds and validates citations for generated content,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/memory/citation-find,134,1.46,per-token,"ai,citation-find",INFER-ENGINE,1.0.0,active
TOOL-074,Answer Generator,ANSWER-GEN,AI_CALLS,PERCEPTION,Generates contextual answers to structured queries,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/perception/answer-gen,141,1.54,per-token,"ai,answer-gen",INFER-ENGINE,1.0.0,active
TOOL-075,Question Former,QUESTION-FORM,AI_CALLS,COMMUNICATION,Forms clarifying questions to resolve ambiguity,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/communication/question-form,148,1.62,per-token,"ai,question-form",INFER-ENGINE,1.0.0,active
TOOL-076,Hypothesis Tester,HYPOTHESIS-TEST,AI_CALLS,DEFENSE,Tests hypotheses against available evidence,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/defense/hypothesis-test,155,1.7,per-token,"ai,hypothesis-test",INFER-ENGINE,1.0.0,active
TOOL-077,Analogy Maker,ANALOGY-MAKE,AI_CALLS,CREATION,Creates analogies to explain complex concepts,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/creation/analogy-make,162,1.78,per-token,"ai,analogy-make",INFER-ENGINE,1.0.0,active
TOOL-078,Metaphor Generator,METAPHOR-GEN,AI_CALLS,ECONOMICS,Generates apt metaphors for abstract ideas,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/economics/metaphor-gen,169,1.86,per-token,"ai,metaphor-gen",INFER-ENGINE,1.0.0,active
TOOL-079,Style Adapter,STYLE-ADAPT,AI_CALLS,INFRASTRUCTURE,Adapts writing style to match target audience,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/infrastructure/style-adapt,176,1.94,per-token,"ai,style-adapt",INFER-ENGINE,1.0.0,active
TOOL-080,Tone Adjuster,TONE-ADJUST,AI_CALLS,CONSCIOUSNESS,Adjusts tone of content for appropriate context,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/consciousness/tone-adjust,183,2.02,per-token,"ai,tone-adjust",INFER-ENGINE,1.0.0,active
TOOL-081,Complexity Reducer,COMPLEX-REDUCE,AI_CALLS,CROWN,Reduces complexity of technical content for clarity,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/crown/complex-reduce,190,2.1,per-token,"ai,complex-reduce",CONTEXT-BUILDER,1.0.0,active
TOOL-082,Jargon Decoder,JARGON-DECODE,AI_CALLS,COGNITION,Decodes domain jargon into plain language,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/cognition/jargon-decode,197,2.18,per-token,"ai,jargon-decode",CONTEXT-BUILDER,1.0.0,active
TOOL-083,Multi-Turn Tracker,MULTI-TURN-TRACK,AI_CALLS,MEMORY,Tracks context across multi-turn conversations,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/memory/multi-turn-track,54,2.26,per-token,"ai,multi-turn-track",CONTEXT-BUILDER,1.0.0,active
TOOL-084,Persona Switcher,PERSONA-SWITCH,AI_CALLS,PERCEPTION,Switches AI persona for different interaction modes,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/perception/persona-switch,61,2.34,per-token,"ai,persona-switch",CONTEXT-BUILDER,1.0.0,active
TOOL-085,Memory Retriever,MEM-RETRIEVE,AI_CALLS,COMMUNICATION,Retrieves relevant memories for contextual responses,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/communication/mem-retrieve,68,2.42,per-token,"ai,mem-retrieve",CONTEXT-BUILDER,1.0.0,active
TOOL-086,Knowledge Linker,KNOWLEDGE-LINK,AI_CALLS,DEFENSE,Links related knowledge nodes for enriched reasoning,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/defense/knowledge-link,75,0.5,per-token,"ai,knowledge-link",CONTEXT-BUILDER,1.0.0,active
TOOL-087,Thought Chain Builder,THOUGHT-CHAIN,AI_CALLS,CREATION,Builds explicit chains of thought for transparency,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/creation/thought-chain,82,0.58,per-token,"ai,thought-chain",CONTEXT-BUILDER,1.0.0,active
TOOL-088,Reasoning Validator,REASON-VALID,AI_CALLS,ECONOMICS,Validates logical consistency of reasoning chains,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/economics/reason-valid,89,0.66,per-token,"ai,reason-valid",CONTEXT-BUILDER,1.0.0,active
TOOL-089,Uncertainty Quantifier,UNCERTAIN-QUANT,AI_CALLS,INFRASTRUCTURE,Quantifies confidence and uncertainty in AI outputs,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/infrastructure/uncertain-quant,96,0.74,per-token,"ai,uncertain-quant",CONTEXT-BUILDER,1.0.0,active
TOOL-090,Bias Detector,BIAS-DETECT,AI_CALLS,CONSCIOUSNESS,Detects cognitive and statistical biases in outputs,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/consciousness/bias-detect,103,0.82,per-token,"ai,bias-detect",CONTEXT-BUILDER,1.0.0,active
TOOL-091,Fairness Auditor,FAIRNESS-AUDIT,AI_CALLS,CROWN,Audits AI outputs for fairness across demographics,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/crown/fairness-audit,110,0.9,per-token,"ai,fairness-audit",CONTEXT-BUILDER,1.0.0,active
TOOL-092,Privacy Scanner,PRIVACY-SCAN,AI_CALLS,COGNITION,Scans content for privacy-sensitive information,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/cognition/privacy-scan,117,0.98,per-token,"ai,privacy-scan",CONTEXT-BUILDER,1.0.0,active
